,id,player_name,games_18,time_18,goals_18,xG_18,assists_18,xA_18,shots_18,key_passes_18,team_title_18,npg_18,npxG_18,league_18,games_17,time_17,goals_17,xG_17,assists_17,xA_17,shots_17,key_passes_17,team_title_17,npg_17,npxG_17,league_17,games_16,time_16,goals_16,xG_16,assists_16,xA_16,shots_16,key_passes_16,team_title_16,npg_16,npxG_16,league_16
0,318,Pierre-Emerick Aubameyang,36.0,2740.0,22.0,23.54996672645211,5.0,4.9898468907922515,94.0,33.0,Arsenal,18.0,19.744122434407476,EPL,13.0,1056.0,10.0,9.174377799034119,4.0,1.2641484700143335,31.0,13.0,Arsenal,9.0,7.652040150016546,EPL,32.0,2785.0,31.0,31.14499611034989,2.0,4.501560077071191,116.0,26.0,Borussia Dortmund,29.0,28.11388934031129,Bundesliga
1,318,Pierre-Emerick Aubameyang,36.0,2740.0,22.0,23.54996672645211,5.0,4.9898468907922515,94.0,33.0,Arsenal,18.0,19.744122434407476,EPL,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,Borussia Dortmund,10.0,13.622629853896795,Bundesliga,32.0,2785.0,31.0,31.14499611034989,2.0,4.501560077071191,116.0,26.0,Borussia Dortmund,29.0,28.11388934031129,Bundesliga
2,838,Sadio Mané,36.0,3100.0,22.0,16.762808084487915,1.0,5.1237345235422245,87.0,45.0,Liverpool,22.0,16.762808084487915,EPL,29.0,2230.0,10.0,11.518153592944145,7.0,5.250221345573665,70.0,49.0,Liverpool,10.0,11.518153592944145,EPL,27.0,2257.0,13.0,9.480921443551779,5.0,4.445210799574851,57.0,43.0,Liverpool,13.0,9.480921443551779,EPL
3,1250,Mohamed Salah,38.0,3274.0,22.0,21.79245018400252,8.0,10.468589510768652,137.0,68.0,Liverpool,19.0,19.50894361175597,EPL,36.0,2954.0,32.0,25.13650297001004,10.0,8.344477602280676,143.0,62.0,Liverpool,31.0,23.614165309816602,EPL,31.0,2498.0,15.0,13.411626555025578,11.0,9.63362380117178,80.0,71.0,Roma,15.0,13.411626555025578,Serie_A
4,619,Sergio Agüero,33.0,2515.0,21.0,19.9491464830935,8.0,5.22924312017858,118.0,34.0,Manchester City,19.0,18.426808904856447,EPL,25.0,1985.0,21.0,18.568617977201942,6.0,6.533229699358344,95.0,39.0,Manchester City,17.0,15.523942567408085,EPL,31.0,2408.0,20.0,22.672585003077984,3.0,4.665906261652708,139.0,31.0,Manchester City,16.0,18.86674086004496,EPL
5,755,Jamie Vardy,34.0,2740.0,18.0,19.11597566306591,4.0,5.13733013253659,79.0,32.0,Leicester,14.0,15.310131333768368,EPL,37.0,3269.0,20.0,15.266967067494988,1.0,3.6308264825493097,70.0,33.0,Leicester,15.0,10.699990747496487,EPL,35.0,2822.0,13.0,9.947158509865405,5.0,4.675952479243279,53.0,31.0,Leicester,13.0,9.947158509865405,EPL
6,618,Raheem Sterling,34.0,2788.0,17.0,15.907645806670187,10.0,10.792034206911922,77.0,66.0,Manchester City,17.0,15.907645806670187,EPL,33.0,2594.0,18.0,18.82996733859181,11.0,8.844115875661373,87.0,55.0,Manchester City,17.0,18.06879848614335,EPL,33.0,2532.0,7.0,8.106001383624973,6.0,5.496263796463609,64.0,46.0,Manchester City,7.0,8.106001383624973,EPL
7,647,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,Tottenham,13.0,13.077755857259035,EPL,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,Tottenham,28.0,24.576384104788303,EPL,30.0,2556.0,29.0,19.82009919732809,7.0,5.5538915153592825,110.0,41.0,Tottenham,24.0,15.253085978329182,EPL
8,701,Eden Hazard,37.0,2935.0,16.0,12.299005899578333,15.0,11.570390027016401,93.0,98.0,Chelsea,12.0,9.254330594092607,EPL,34.0,2451.0,12.0,8.212463462725282,4.0,7.303086698055267,71.0,84.0,Chelsea,10.0,6.690125757828356,EPL,36.0,3050.0,16.0,11.032845260575414,5.0,6.440569620579481,77.0,88.0,Chelsea,14.0,8.749338624998929,EPL
9,468,Callum Wilson,30.0,2548.0,14.0,16.016500677913427,9.0,5.955955449491738,65.0,31.0,Bournemouth,13.0,14.494162943214178,EPL,28.0,2007.0,8.0,7.619610041379929,2.0,1.5524410009384155,54.0,18.0,Bournemouth,8.0,7.619610041379929,EPL,20.0,1382.0,6.0,5.365591797977687,0.0,0.5500710830092429,31.0,8.0,Bournemouth,3.0,3.082085270434618,EPL
10,714,Gylfi Sigurdsson,38.0,3150.0,13.0,12.118343196809292,6.0,6.791106753051281,86.0,74.0,Everton,11.0,8.312648046761751,EPL,27.0,2265.0,4.0,3.187053117901087,3.0,3.746338976547122,39.0,36.0,Everton,4.0,3.187053117901087,EPL,38.0,3329.0,9.0,8.569290215149524,13.0,8.268967153504489,116.0,79.0,Swansea,6.0,6.285783709958197,EPL
11,882,Glenn Murray,38.0,2517.0,13.0,11.541339591145515,1.0,1.1180225415155292,54.0,12.0,Brighton,9.0,8.49666416272521,EPL,35.0,2204.0,12.0,12.380600898526607,0.0,1.2383797569200397,52.0,16.0,Brighton,8.0,7.813587754033506,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
12,1740,Paul Pogba,35.0,3013.0,13.0,15.87753972876817,9.0,5.186745170503856,105.0,55.0,Manchester United,6.0,8.265851370058954,EPL,27.0,2158.0,6.0,7.813678246922791,10.0,4.590671516954898,76.0,39.0,Manchester United,6.0,7.813678246922791,EPL,30.0,2606.0,5.0,6.505610935389996,4.0,5.5897786878049365,92.0,57.0,Manchester United,5.0,6.505610935389996,EPL
13,3277,Alexandre Lacazette,35.0,2498.0,13.0,12.033691215328872,8.0,4.100151715800166,81.0,31.0,Arsenal,13.0,12.033691215328872,EPL,32.0,2235.0,14.0,13.831241022795439,4.0,4.839554825797677,67.0,36.0,Arsenal,12.0,12.308903332799671,EPL,30.0,2416.0,28.0,22.4740299731493,3.0,6.6583012919873,85.0,50.0,Lyon,18.0,13.352954130619766,Ligue_1
14,4105,Raúl Jiménez,38.0,3143.0,13.0,14.273595059290528,7.0,6.991126699373126,111.0,42.0,Wolverhampton Wanderers,11.0,12.75125745870173,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
15,6026,Richarlison,35.0,2702.0,13.0,11.333979241549967,1.0,1.9562372555956244,82.0,20.0,Everton,13.0,11.333979241549967,EPL,38.0,2832.0,5.0,10.662872670218347,4.0,3.8079299936071034,95.0,26.0,Watford,5.0,10.662872670218347,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
16,453,Son Heung-Min,31.0,2061.0,12.0,8.36306463368237,6.0,3.965311402454972,74.0,33.0,Tottenham,12.0,8.36306463368237,EPL,37.0,2315.0,12.0,11.021603035740554,6.0,6.592509059235454,75.0,38.0,Tottenham,12.0,11.021603035740554,EPL,34.0,2069.0,14.0,7.7653309646993876,6.0,4.6964171743020415,80.0,43.0,Tottenham,14.0,7.7653309646993876,EPL
17,465,Joshua King,35.0,2987.0,12.0,13.546660237014295,3.0,4.257977558299899,72.0,37.0,Bournemouth,7.0,8.979647155851127,EPL,33.0,2458.0,8.0,6.5555993653833875,3.0,4.888207009062171,51.0,38.0,Bournemouth,6.0,5.0332616567611685,EPL,36.0,2734.0,16.0,10.911753680557013,2.0,2.409230097196996,67.0,30.0,Bournemouth,14.0,8.628247126936913,EPL
18,482,Roberto Firmino,34.0,2631.0,12.0,13.737689750269055,6.0,6.344290215522051,75.0,43.0,Liverpool,11.0,12.976520912721753,EPL,37.0,2814.0,15.0,10.763707412406802,7.0,7.67842498794198,84.0,56.0,Liverpool,14.0,10.00253858976066,EPL,35.0,3077.0,11.0,10.36466862168163,7.0,7.852919233031571,100.0,78.0,Liverpool,11.0,10.36466862168163,EPL
19,594,Romelu Lukaku,32.0,2113.0,12.0,13.105178356170654,0.0,2.3202144932001834,55.0,21.0,Manchester United,12.0,13.105178356170654,EPL,34.0,2869.0,16.0,15.468220829963686,7.0,5.473206410184503,86.0,33.0,Manchester United,16.0,14.707051992416382,EPL,37.0,3271.0,25.0,16.665452419780195,6.0,5.440816408023238,110.0,47.0,Everton,24.0,15.904283582232893,EPL
20,770,Ayoze Pérez,37.0,2950.0,12.0,8.294692774303257,2.0,4.032593822106719,55.0,45.0,Newcastle United,12.0,8.294692774303257,EPL,36.0,2502.0,8.0,6.864802069962026,5.0,5.451955586671829,60.0,36.0,Newcastle United,8.0,6.864802069962026,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
21,4422,Ashley Barnes,37.0,2379.0,12.0,13.257514169439672,2.0,3.640304792672396,65.0,22.0,Burnley,10.0,11.735213300213218,EPL,36.0,2143.0,9.0,6.560562789440155,0.0,1.5027274526655674,61.0,17.0,Burnley,9.0,6.560562789440155,EPL,28.0,1788.0,6.0,6.5921545177698135,2.0,2.387533933855593,44.0,21.0,Burnley,4.0,5.069816809147597,EPL
22,5549,Luka Milivojevic,38.0,3420.0,12.0,10.491015195380896,2.0,3.3903411589562893,57.0,59.0,Crystal Palace,2.0,2.1181947845034297,EPL,36.0,3087.0,10.0,7.874588200822473,1.0,1.2642450630664823,42.0,21.0,Crystal Palace,3.0,1.785385170020163,EPL,14.0,1230.0,2.0,1.9874197356402876,0.0,0.6430021747946739,14.0,5.0,Crystal Palace,0.0,0.4650820353999734,EPL
23,773,Aleksandar Mitrovic,37.0,3285.0,11.0,15.452766000293195,3.0,2.969133678823709,131.0,31.0,Fulham,10.0,14.691597103141248,EPL,6.0,73.0,1.0,1.2253848984837532,0.0,0.2734851688146591,4.0,3.0,Newcastle United,1.0,1.2253848984837532,EPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
24,813,Salomón Rondón,32.0,2616.0,11.0,10.635379770770667,7.0,3.4131878558546305,89.0,32.0,Newcastle United,11.0,10.635379770770667,EPL,36.0,2781.0,7.0,6.871560767292976,3.0,2.6148639917373657,78.0,23.0,West Bromwich Albion,7.0,6.871560767292976,EPL,38.0,2902.0,8.0,9.357964286580682,2.0,2.8521670997142787,93.0,26.0,West Bromwich Albion,8.0,9.357964286580682,EPL
25,337,Leroy Sané,31.0,1866.0,10.0,6.9819444734603175,10.0,8.101670823991299,56.0,40.0,Manchester City,10.0,6.9819444734603175,EPL,32.0,2421.0,10.0,6.24107522983104,15.0,9.04887653980404,56.0,58.0,Manchester City,10.0,6.24107522983104,EPL,26.0,1793.0,5.0,5.8207272328436375,3.0,5.704548614099622,33.0,35.0,Manchester City,5.0,5.8207272328436375,EPL
26,522,Wilfried Zaha,34.0,3046.0,10.0,6.4907636530697355,5.0,5.4043349139392385,73.0,54.0,Crystal Palace,10.0,6.4907636530697355,EPL,29.0,2551.0,9.0,9.735278444364669,3.0,5.296256110072137,64.0,53.0,Crystal Palace,9.0,9.735278444364669,EPL,35.0,3033.0,7.0,5.5702579310163856,9.0,4.54127433244139,49.0,38.0,Crystal Palace,7.0,5.5702579310163856,EPL
27,553,Anthony Martial,27.0,1632.0,10.0,7.954482201486826,2.0,3.2472195653244853,39.0,36.0,Manchester United,9.0,7.193313341587782,EPL,30.0,1589.0,9.0,6.301933970302343,5.0,5.435461966320872,49.0,33.0,Manchester United,8.0,5.540765132755041,EPL,25.0,1558.0,4.0,3.311827577650547,6.0,3.6707763336598873,42.0,25.0,Manchester United,4.0,3.311827577650547,EPL
