,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
0,647.0,Harry Kane,30.0,2556.0,29.0,19.82009919732809,7.0,5.5538915153592825,110.0,41.0,3.0,0.0,F M S,Tottenham,24.0,15.253085978329182,21.94719305820763,4.125999901443721,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
672,645.0,Dele Alli,37.0,3060.0,18.0,14.708572203293445,7.0,4.5738116446882495,94.0,52.0,4.0,0.0,F M S,Tottenham,17.0,13.94740335084498,25.15399905666709,8.973644252866508,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
1344,453.0,Son Heung-Min,34.0,2069.0,14.0,7.7653309646993876,6.0,4.6964171743020415,80.0,43.0,2.0,0.0,F M S,Tottenham,14.0,7.7653309646993876,14.948595624417068,4.281621094793081,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
2016,646.0,Christian Eriksen,36.0,3181.0,8.0,8.864706524647774,15.0,11.740697804838419,133.0,112.0,0.0,0.0,M,Tottenham,8.0,8.864706524647774,22.943159885704517,10.891212717629971,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
2688,836.0,Victor Wanyama,36.0,3021.0,4.0,4.787808591499925,1.0,2.0355495056137443,40.0,32.0,10.0,0.0,M S,Tottenham,4.0,4.787808591499925,11.888981367461385,9.314753459766509,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
3360,641.0,Danny Rose,18.0,1538.0,2.0,0.8990537421777844,2.0,1.3458638386800883,23.0,26.0,8.0,0.0,D M,Tottenham,2.0,0.8990537421777844,4.799435392022133,3.438614249229431,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
4032,643.0,Eric Dier,36.0,3045.0,2.0,1.587278407998383,0.0,0.7489535212516785,23.0,14.0,6.0,0.0,D M S,Tottenham,2.0,1.587278407998383,10.803299523890018,10.071759369224312,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
4704,1730.0,Vincent Janssen,27.0,815.0,2.0,4.417055474594235,2.0,1.254039004445076,30.0,16.0,0.0,0.0,F S,Tottenham,1.0,3.655886637046933,3.7925252318382254,0.896029019728303,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
5376,639.0,Toby Alderweireld,30.0,2610.0,1.0,1.99682092666626,0.0,0.32658473029732704,28.0,6.0,1.0,0.0,D,Tottenham,1.0,1.99682092666626,8.036760732531548,7.413333617150783,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
6048,642.0,Mousa Dembélé,30.0,2085.0,1.0,0.5696427756920457,1.0,0.9761256473138928,15.0,25.0,5.0,0.0,M S,Tottenham,1.0,0.5696427756920457,9.285686234012246,8.624222787097096,1617.0,647.0,Harry Kane,37.0,3094.0,30.0,26.85989058762789,2.0,3.8204412199556823,183.0,34.0,5.0,0.0,F S,28.0,24.576384104788303,28.51526607386768,7.961634367704391,1718.0,647.0,Harry Kane,28.0,2437.0,17.0,16.12239446118474,4.0,4.562663219869137,102.0,30.0,5.0,0.0,F S,13.0,13.077755857259035,18.83823053259402,4.841164272278546,1819.0
