,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
0,318.0,Pierre-Emerick Aubameyang,32.0,2785.0,31.0,31.14499611034989,2.0,4.501560077071191,116.0,26.0,3.0,0.0,F S,Borussia Dortmund,29.0,28.11388934031129,32.586535405367606,3.351819842122495,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
621,319.0,Marco Reus,17.0,1194.0,7.0,8.953462198376657,4.0,4.654696952551603,43.0,24.0,1.0,1.0,F M S,Borussia Dortmund,5.0,7.437908783555031,12.987953051924706,4.711976274847983,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
1242,3226.0,Ousmane Dembélé,32.0,2042.0,6.0,5.1060503236949435,12.0,11.507424423471091,55.0,62.0,7.0,0.0,F M S,Borussia Dortmund,6.0,5.1060503236949435,20.956586353480816,7.158099519088863,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
1863,3455.0,Raphael Guerreiro,24.0,1484.0,6.0,4.285499382764101,3.0,2.690791800618172,33.0,27.0,0.0,0.0,D M S,Borussia Dortmund,6.0,4.285499382764101,15.211614415049553,9.871947249397637,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
2484,310.0,Lukasz Piszczek,25.0,2033.0,5.0,2.6324565624818206,1.0,2.1495317947119474,19.0,18.0,1.0,0.0,D M S,Borussia Dortmund,5.0,2.6324565624818206,12.804802350699902,10.118609257042408,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
3105,316.0,Gonzalo Castro,28.0,1936.0,3.0,2.3797637550160293,6.0,4.6588957412168375,30.0,42.0,5.0,0.0,M S,Borussia Dortmund,3.0,2.3797637550160293,15.821765722706914,11.75433939602226,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
3726,2662.0,Christian Pulisic,29.0,1511.0,3.0,4.0034856870770446,6.0,4.723406471312046,32.0,25.0,1.0,0.0,F M S,Borussia Dortmund,3.0,4.0034856870770446,11.558979094028473,3.6801262218505135,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
4347,154.0,André Schürrle,15.0,745.0,2.0,3.693187482655048,2.0,1.8279476650059223,36.0,17.0,3.0,0.0,F M S,Borussia Dortmund,1.0,2.9354108050465584,5.189754270017146,1.46803480386734,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
4968,324.0,Adrián Ramos,7.0,356.0,2.0,1.151927849277854,1.0,1.3381489682942629,12.0,5.0,2.0,0.0,F S,Borussia Dortmund,2.0,1.151927849277854,3.308837309479713,1.4292181096971035,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
5589,371.0,Sokratis,26.0,2300.0,2.0,1.2939284481108189,0.0,0.8212976306676865,20.0,6.0,7.0,0.0,D,Borussia Dortmund,2.0,1.2939284481108189,8.126692347228527,8.036207728087902,1617.0,318.0,Pierre-Emerick Aubameyang,16.0,1421.0,13.0,16.653736653737724,3.0,2.5581485070288186,59.0,16.0,0.0,1.0,F,10.0,13.622629853896795,16.92688262462616,2.5583305675536394,1718.0,2380.0,Paco Alcácer,26.0,1181.0,18.0,10.243740145117043,0.0,1.6062996024265883,52.0,15.0,0.0,0.0,F S,17.0,9.485963467508554,12.34681287780404,4.099529501050712,1819.0
