,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
0,2097.0,Lionel Messi,34.0,2832.0,37.0,26.88517436385155,9.0,13.955131396651268,179.0,79.0,6.0,0.0,F M S,Barcelona,31.0,21.682230830192566,42.52504535019398,18.13351222872734,1617.0,2097.0,Lionel Messi,36.0,2995.0,34.0,28.946280613541603,12.0,15.100405622273685,196.0,87.0,3.0,0.0,F M S,32.0,25.973170146346092,48.18063422292471,21.634404016658664,1718.0,2097.0,Lionel Messi,34.0,2704.0,36.0,25.99716906994581,13.0,15.33516551926732,170.0,93.0,3.0,0.0,F S,32.0,22.28090887516737,38.45987746119499,10.698799002915619,1819.0
16100,2371.0,Cristiano Ronaldo,29.0,2546.0,25.0,25.413737758994106,6.0,4.591035931371152,162.0,31.0,4.0,0.0,F M,Real Madrid,19.0,19.467644795775414,29.57457834482193,8.661094894632697,1617.0,2371.0,Cristiano Ronaldo,27.0,2304.0,26.0,26.999303579330444,5.0,5.524841643869877,178.0,40.0,1.0,0.0,F,23.0,24.02619305253029,31.62383733689785,9.471852870658038,1718.0,2370.0,Karim Benzema,36.0,2972.0,21.0,18.66933431848884,6.0,6.1459240317344666,104.0,48.0,1.0,0.0,F S,18.0,16.439501460641626,27.20173075422645,8.029114556498827,1819.0
31652,2290.0,Iago Aspas,32.0,2317.0,19.0,13.990092385560276,3.0,5.44426878541708,78.0,50.0,8.0,1.0,F M S,Celta Vigo,13.0,9.530682424083352,15.566101256757975,3.66619073972106,1617.0,2290.0,Iago Aspas,34.0,2939.0,22.0,17.546513004228473,5.0,8.858792271465063,94.0,67.0,9.0,0.0,F M S,20.0,15.317325321957467,31.4261187016964,11.6392532158643,1718.0,2290.0,Iago Aspas,27.0,2268.0,20.0,12.470295615494251,6.0,6.623374821618199,70.0,56.0,5.0,0.0,F M S,15.0,8.753907531499863,18.57387538999319,5.864633502438664,1819.0
46524,2270.0,Antoine Griezmann,36.0,3072.0,16.0,11.523304808884859,8.0,7.356404351070522,88.0,56.0,3.0,0.0,F M,Atletico Madrid,16.0,10.03674952313304,23.41523878276348,8.286495961248875,1617.0,2270.0,Antoine Griezmann,32.0,2532.0,19.0,14.592848546802998,9.0,5.752700959332287,72.0,43.0,7.0,1.0,F M S,17.0,13.106293395161627,21.754963669925928,5.3439125437289485,1718.0,2270.0,Antoine Griezmann,37.0,3213.0,15.0,14.60985544603318,8.0,8.838093780912459,113.0,74.0,5.0,0.0,F M,12.0,12.380150402896106,20.534598607569933,8.563468346372247,1819.0
61836,2410.0,Aduriz,32.0,2464.0,16.0,15.069717222824693,1.0,1.627039710059762,85.0,24.0,8.0,1.0,F S,Athletic Club,11.0,11.353329183533788,13.694360074587165,2.1255903067067266,1617.0,2400.0,Raúl García,34.0,2645.0,10.0,10.262933790683746,1.0,3.4918361753225327,80.0,23.0,10.0,0.0,F M S,7.0,8.033100925385952,11.72306425217539,4.553346510976553,1718.0,2399.0,Iñaki Williams,38.0,3055.0,13.0,13.370236299932005,4.0,3.643498457968235,75.0,30.0,3.0,0.0,F M S,13.0,13.370236299932005,19.53979444503784,4.114086925983429,1819.0
77168,2120.0,Gerard Moreno,37.0,3286.0,13.0,8.475201631896198,4.0,2.629427490755916,82.0,32.0,6.0,0.0,F M,Espanyol,13.0,7.7319240076467395,10.779367482289672,3.069734778255224,1617.0,2120.0,Gerard Moreno,38.0,3413.0,16.0,15.845955716446042,1.0,4.254493271000683,105.0,44.0,4.0,0.0,F M,15.0,14.359528409317136,19.69210846349597,5.460850711911917,1718.0,2543.0,Borja Iglesias,37.0,3095.0,17.0,15.842947600409387,3.0,4.824147495441139,89.0,41.0,5.0,0.0,F S,14.0,13.613114787265658,19.68051299266517,3.160458251833916,1819.0
90918,2150.0,Rubén Castro,35.0,2786.0,13.0,13.728098262101412,3.0,2.3103723619133234,117.0,27.0,3.0,0.0,F M S,Real Betis,11.0,12.24154301173985,14.288916926831007,2.271651508286596,1617.0,5095.0,Sergio León,31.0,1984.0,11.0,10.064536483958364,1.0,1.179199207574129,65.0,10.0,5.0,0.0,F M S,11.0,9.321258844807744,11.084629241377117,1.5148667469620705,1718.0,5681.0,Giovani Lo Celso,32.0,2401.0,9.0,8.157648704946041,4.0,4.238757798448205,64.0,27.0,5.0,0.0,F M S,7.0,5.184538200497626,13.617415504530072,6.539375353604555,1819.0
108260,2361.0,Willian José,28.0,2081.0,12.0,7.8858933290466675,4.0,2.385295510292053,69.0,20.0,4.0,0.0,F S,Real Sociedad,9.0,5.656445941887796,9.129569853655994,3.774261813610792,1617.0,2361.0,Willian José,34.0,2789.0,15.0,11.709621572867036,4.0,4.993509437888862,89.0,40.0,4.0,0.0,F S,12.0,8.736639032140374,14.918085776269436,4.795237608253956,1718.0,2234.0,Mikel Oyarzabal,37.0,3168.0,13.0,11.02931336313486,2.0,4.937821137718856,66.0,45.0,2.0,0.0,F M S,10.0,8.799608413130045,16.335075115785006,4.4422677839174876,1819.0
128600,2135.0,Sergi Enrich,38.0,2826.0,11.0,8.227557562291622,7.0,4.600274278782309,64.0,36.0,5.0,0.0,F S,Eibar,11.0,8.227557562291622,13.362418089061975,3.4894666764885187,1617.0,2339.0,Charles,30.0,1577.0,8.0,8.053776279091835,1.0,1.9887065831571815,45.0,17.0,5.0,1.0,F S,7.0,7.310498669743537,8.9798578992486,2.0952835176140066,1718.0,2339.0,Charles,34.0,1732.0,14.0,12.790910931304095,1.0,1.5539405588060615,63.0,15.0,4.0,0.0,F S,8.0,7.587967375293374,10.083573045209052,2.5883562490344048,1819.0
142400,2306.0,Cédric Bakambu,26.0,1573.0,11.0,8.286167073994875,1.0,2.653210463002324,49.0,12.0,5.0,0.0,F S,Villarreal,11.0,8.286167073994875,12.781469717621805,2.5884057404473424,1617.0,1125.0,Carlos Bacca,35.0,2513.0,15.0,14.397431414574385,6.0,5.562117218971252,73.0,30.0,8.0,0.0,F S,14.0,13.654153812676668,20.904759222641584,4.95886552426964,1718.0,5657.0,Karl Toko Ekambi,34.0,2147.0,10.0,10.614568071439864,1.0,2.1872154027223587,59.0,26.0,5.0,0.0,F M S,10.0,9.871290432289245,11.669786984100938,1.9279387053102253,1819.0
