,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
0,3294.0,Edinson Cavani,36.0,2983.0,35.0,36.86662236601114,4.0,2.2004470322281118,143.0,25.0,5.0,0.0,F S,Paris Saint Germain,28.0,30.785861127078533,30.91360350325704,2.781269960105419,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
810,3293.0,Lucas Moura,37.0,2446.0,12.0,10.22088955529034,5.0,6.0927196498960265,66.0,55.0,0.0,0.0,F M S,Paris Saint Germain,11.0,9.460794435814023,22.506100092083216,11.131712997332217,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
1620,3553.0,Ángel Di María,29.0,2053.0,6.0,5.974738443270326,7.0,10.616921172477305,83.0,77.0,1.0,1.0,F M S,Paris Saint Germain,6.0,5.974738443270326,19.09286143630743,10.834140354767444,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
2430,152.0,Julian Draxler,17.0,1019.0,4.0,2.9870047997683287,1.0,1.6623531505465508,24.0,21.0,2.0,0.0,F M S,Paris Saint Germain,4.0,2.9870047997683287,9.996738053858278,6.0710532404482365,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
3240,3296.0,Blaise Matuidi,34.0,2413.0,4.0,3.6843605805188417,4.0,4.457987611182034,41.0,27.0,4.0,0.0,F M S,Paris Saint Germain,4.0,3.6843605805188417,20.97232723236084,15.154585115611553,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
4050,3288.0,Thiago Silva,27.0,2386.0,3.0,3.160794286988676,2.0,2.4714918248355393,22.0,12.0,1.0,0.0,D,Paris Saint Germain,3.0,3.160794286988676,12.74720911309123,12.62630094215274,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
4860,3291.0,Adrien Rabiot,27.0,1931.0,3.0,1.5700372625142336,2.0,0.9431774578988552,21.0,14.0,2.0,0.0,M S,Paris Saint Germain,3.0,1.5700372625142336,13.465031992644072,11.49405000731349,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
5670,3297.0,Marquinhos,29.0,2499.0,3.0,3.0870851166546345,0.0,0.4033842664211989,15.0,8.0,1.0,0.0,D S,Paris Saint Germain,3.0,3.0870851166546345,13.711110271513462,12.599473394453526,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
6480,3552.0,Marco Verratti,28.0,2162.0,3.0,1.167392797768116,5.0,5.925053656101228,12.0,39.0,6.0,0.0,M S,Paris Saint Germain,3.0,1.167392797768116,21.391431659460064,18.042390421032906,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
7290,3298.0,Layvin Kurzawa,18.0,1529.0,2.0,2.697669668123126,2.0,2.704293144866824,24.0,16.0,3.0,0.0,D,Paris Saint Germain,2.0,2.697669668123126,9.235694540664555,6.917725009843707,1617.0,3294.0,Edinson Cavani,32.0,2592.0,28.0,24.314603270962834,6.0,6.400494074448942,106.0,38.0,3.0,0.0,F S,25.0,20.514127762988213,29.750943928956985,5.191347185522319,1718.0,3423.0,Kylian Mbappe-Lottin,29.0,2334.0,33.0,29.85540480911732,7.0,6.042636580765247,125.0,47.0,5.0,1.0,F M S,32.0,28.33521442860365,38.67279802262783,8.34364271350205,1819.0
