,id_x,player_name_x,games_x,time_x,goals_x,xG_x,assists_x,xA_x,shots_x,key_passes_x,yellow_cards_x,red_cards_x,position_x,team_title,npg_x,npxG_x,xGChain_x,xGBuildup_x,season_x,id_y,player_name_y,games_y,time_y,goals_y,xG_y,assists_y,xA_y,shots_y,key_passes_y,yellow_cards_y,red_cards_y,position_y,npg_y,npxG_y,xGChain_y,xGBuildup_y,season_y,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup,season
0,1253.0,Edin Dzeko,37.0,3051.0,29.0,32.399442188441746,9.0,5.461562674492598,178.0,44.0,4.0,0.0,F S,Roma,28.0,30.115545682609078,34.761223044246435,4.385937949642538,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
650,1250.0,Mohamed Salah,31.0,2498.0,15.0,13.411626555025578,11.0,9.63362380117178,80.0,71.0,2.0,0.0,F M S,Roma,15.0,13.411626555025578,29.46748649328947,9.299841643311085,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
1300,1251.0,Radja Nainggolan,37.0,3052.0,11.0,6.018761994317174,5.0,7.531554467044772,90.0,69.0,2.0,0.0,F M S,Roma,11.0,6.018761994317174,21.978864409029484,12.449996436946096,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
1950,1252.0,Stephan El Shaarawy,32.0,1630.0,8.0,6.022106239572167,4.0,2.217463424429297,65.0,20.0,0.0,0.0,F M S,Roma,8.0,6.022106239572167,12.573319599032402,5.454214623197913,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
2600,1539.0,Diego Perotti,32.0,1742.0,8.0,8.327091746032236,6.0,5.2605516631156215,49.0,44.0,2.0,0.0,F M S,Roma,1.0,2.9979999661445618,10.67732433602214,4.628722814843059,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
3250,1249.0,Daniele De Rossi,31.0,2349.0,4.0,3.770565743558109,4.0,2.5648769438266754,20.0,27.0,9.0,0.0,M S,Roma,2.0,2.247968073002994,12.257933171465993,11.030966989696026,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
3900,1256.0,Kevin Strootman,33.0,2791.0,4.0,3.301339286379516,7.0,6.866026621311902,23.0,55.0,6.0,0.0,M S,Roma,4.0,3.301339286379516,21.923483822494745,14.872784912586212,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
4550,1248.0,Leandro Paredes,27.0,1465.0,3.0,0.6854524575173855,1.0,3.5769942849874496,29.0,43.0,4.0,0.0,M S,Roma,3.0,0.6854524575173855,12.105824653059244,11.169779056683183,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
5200,1000.0,Federico Fazio,37.0,3119.0,2.0,1.1886875163763762,1.0,1.740100521594286,21.0,9.0,3.0,0.0,D S,Roma,2.0,1.1886875163763762,11.696686519309877,10.292906085029244,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
5850,1255.0,Francesco Totti,18.0,351.0,2.0,2.372547343373298,3.0,3.123473547399044,19.0,23.0,1.0,0.0,M S,Roma,0.0,0.8499497137963772,5.204127036035062,2.4822708340361714,1617.0,1253.0,Edin Dzeko,36.0,3016.0,16.0,17.002702409401536,4.0,4.159454776905477,152.0,49.0,6.0,0.0,F S,16.0,17.002702409401536,23.339885734021664,5.367070994339882,1718.0,1252.0,Stephan El Shaarawy,28.0,2115.0,11.0,8.618940285407009,3.0,5.502360939979553,70.0,37.0,2.0,0.0,F M S,11.0,8.618940285407009,17.380668761208653,5.8803337002173075,1819.0
